--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
506|Lillipup  |NORMAL           |  45|  60|  45|  55|  25|  45|Truant      |--          |Guts        |
507|Herdier   |NORMAL           |  65|  80|  65|  60|  35|  65|Damp        |Simple      |Solar Power |Power Belt (dark grass only)
508|Stoutland |NORMAL           |  85| 100|  90|  80|  45|  90|Torrent     |Water Veil  |Compoundeyes|Scope Lens (dark grass only)
509|Purrloin  |DARK             |  41|  50|  37|  66|  50|  37|Leaf Guard  |--          |Forecast    |X Sp. Def (100%)
510|Liepard   |DARK             |  64|  88|  50| 106|  88|  50|No Guard    |Swarm       |Anticipation|Shock Drive (100%)
511|Pansage   |GRASS            |  50|  53|  48|  64|  53|  48|Klutz       |Filter      |Keen Eye    |Pass Orb (dark grass only)
512|Simisage  |GRASS            |  75|  98|  63| 101|  98|  63|Trace       |--          |Rock Head   |Carbos (rare)
513|Pansear   |FIRE             |  50|  53|  48|  64|  53|  48|Lightningrod|Swarm       |Air Lock    |
514|Simisear  |FIRE             |  75|  98|  63| 101|  98|  63|Snow Cloak  |Volt Absorb |Arena Trap  |Max Revive (common)
515|Panpour   |WATER            |  50|  53|  48|  64|  53|  48|Tangled Feet|Wonder Guard|Sniper      |Old Amber (rare), King's Rock (dark grass only)
516|Simipour  |WATER            |  75|  98|  63| 101|  98|  63|No Guard    |Guts        |Anticipation|Escape Rope (common), Normal Gem (rare), Sacred Ash (dark grass only)
517|Munna     |PSYCHIC          |  76|  25|  45|  24|  67|  55|Drought     |--          |Minus       |Poké Ball (common), Poké Doll (rare), Grip Claw (dark grass only)
518|Musharna  |PSYCHIC          | 116|  55|  85|  29| 107|  95|Overgrow    |Solid Rock  |Shell Armor |
519|Pidove    |NORMAL/FLYING    |  50|  55|  50|  43|  36|  30|Stench      |Hustle      |Blaze       |
520|Tranquill |NORMAL/FLYING    |  62|  77|  62|  65|  50|  42|Natural Cure|Tinted Lens |Effect Spore|Spell Tag (common), Repel (rare), Sitrus Berry (dark grass only)
521|Unfezant  |NORMAL/FLYING    |  80| 105|  80|  93|  65|  55|Insomnia    |--          |Sniper      |Sun Stone (common)
522|Blitzle   |ELECTRIC         |  45|  60|  32|  76|  50|  32|Forecast    |--          |Poison Point|
523|Zebstrika |ELECTRIC         |  75| 100|  63| 116|  80|  63|Unburden    |Technician  |Forecast    |Miracle Seed (common), Aspear Berry (rare)
524|Roggenrola|ROCK             |  55|  75|  85|  15|  25|  25|Huge Power  |Vital Spirit|Simple      |BlackGlasses (dark grass only)
525|Boldore   |ROCK             |  70| 105| 105|  20|  50|  40|Limber      |--          |Shed Skin   |Oval Stone (dark grass only)
526|Gigalith  |ROCK             |  85| 135| 130|  25|  60|  70|Intimidate  |Minus       |Hustle      |
527|Woobat    |PSYCHIC/FLYING   |  55|  45|  43|  72|  55|  43|Wonder Guard|Speed Boost |Forewarn    |Big Pearl (rare)
528|Swoobat   |PSYCHIC/FLYING   |  67|  57|  55| 114|  77|  55|Guts        |--          |Shed Skin   |Heal Powder (dark grass only)
529|Drilbur   |GROUND           |  60|  85|  40|  68|  30|  45|Sand Veil   |--          |Cute Charm  |
530|Excadrill |GROUND/STEEL     | 110| 135|  60|  88|  50|  65|Anger Point |Intimidate  |Trace       |
531|Audino    |NORMAL           | 103|  60|  86|  50|  60|  86|Illuminate  |--          |Guts        |
532|Timburr   |FIGHTING         |  75|  80|  55|  35|  25|  35|Pressure    |Shell Armor |Limber      |Soda Pop (dark grass only)
533|Gurdurr   |FIGHTING         |  85| 105|  85|  40|  40|  50|Overgrow    |Air Lock    |Synchronize |
534|Conkeldurr|FIGHTING         | 105| 140|  95|  45|  55|  65|Speed Boost |--          |Steadfast   |Genius Wing (common), Protector (dark grass only)
535|Tympole   |WATER            |  50|  50|  40|  64|  50|  40|Drought     |--          |Honey Gather|Iron Ball (common), Grass Gem (dark grass only)
536|Palpitoad |WATER/GROUND     |  75|  65|  55|  69|  65|  55|Storm Drain |--          |Hustle      |Poison Barb (common), Root Fossil (rare)
537|Seismitoad|WATER/GROUND     | 105|  85|  75|  74|  85|  75|Keen Eye    |--          |Tangled Feet|Life Orb (common), PP Max (rare), PP Max (dark grass only)
538|Throh     |FIGHTING         | 120| 100|  85|  45|  30|  85|Intimidate  |--          |Arena Trap  |Leppa Berry (dark grass only)
539|Sawk      |FIGHTING         |  75| 125|  75|  85|  30|  75|Truant      |Flash Fire  |Insomnia    |
540|Sewaddle  |BUG/GRASS        |  45|  53|  70|  42|  40|  60|Suction Cups|--          |Forecast    |Yellow Shard (common)
541|Swadloon  |BUG/GRASS        |  55|  63|  90|  42|  50|  80|Solid Rock  |Forewarn    |Shield Dust |Safari Ball (rare), Shed Shell (dark grass only)
542|Leavanny  |BUG/GRASS        |  75| 103|  80|  92|  70|  70|Hyper Cutter|--          |Dry Skin    |
543|Venipede  |BUG/POISON       |  30|  45|  59|  57|  30|  39|Super Luck  |--          |Pressure    |Full Heal (common)
544|Whirlipede|BUG/POISON       |  40|  55|  99|  47|  40|  79|Adaptability|--          |Iron Fist   |Water Stone (common), Charcoal (rare)
545|Scolipede |BUG/POISON       |  60|  90|  89| 112|  55|  69|Frisk       |--          |Cloud Nine  |
546|Cottonee  |GRASS            |  40|  27|  60|  66|  37|  50|Forewarn    |--          |Bad Dreams  |Poison Gem (common), Zoom Lens (rare), Cherish Ball (dark grass only)
547|Whimsicott|GRASS            |  60|  67|  85| 116|  77|  75|Multitype   |Solar Power |Pure Power  |
548|Petilil   |GRASS            |  45|  35|  50|  30|  70|  50|Sniper      |--          |Tangled Feet|
549|Lilligant |GRASS            |  70|  60|  75|  90| 110|  75|Guts        |Limber      |Solid Rock  |
550|Basculin  |WATER            |  70|  92|  65|  98|  80|  55|Volt Absorb |Flower Gift |Leaf Guard  |Light Clay (rare)
551|Sandile   |GROUND/DARK      |  50|  72|  35|  65|  35|  35|Serene Grace|Clear Body  |Solid Rock  |Energy Root (common), Soda Pop (rare), Burn Heal (dark grass only)
552|Krokorok  |GROUND/DARK      |  60|  82|  45|  74|  45|  45|Forewarn    |Static      |Swarm       |Black Sludge (common), Escape Rope (rare), Fighting Gem (dark grass only)
553|Krookodile|GROUND/DARK      |  95| 117|  70|  92|  65|  70|Chlorophyll |Immunity    |Damp        |Old Gateau (common)
554|Darumaka  |FIRE             |  70|  90|  45|  50|  15|  45|Huge Power  |--          |Forecast    |
555|Darmanitan|FIRE             | 105| 140|  55|  95|  30|  55|Vital Spirit|Skill Link  |Overgrow    |Fire Stone (rare)
556|Maractus  |GRASS            |  75|  86|  67|  60| 106|  67|Vital Spirit|--          |Honey Gather|Dragon Fang (dark grass only)
557|Dwebble   |BUG/ROCK         |  50|  65|  85|  55|  35|  35|Suction Cups|--          |Hydration   |Dusk Stone (common), Max Revive (rare), Mind Plate (dark grass only)
558|Crustle   |BUG/ROCK         |  70|  95| 125|  45|  65|  75|Drought     |--          |Storm Drain |X Speed (rare)
559|Scraggy   |DARK/FIGHTING    |  50|  75|  70|  48|  35|  70|Volt Absorb |--          |Sniper      |Mental Herb (dark grass only)
560|Scrafty   |DARK/FIGHTING    |  65|  90| 115|  58|  45| 115|Unaware     |--          |Torrent     |Magmarizer (common)
561|Sigilyph  |PSYCHIC/FLYING   |  72|  58|  80|  97| 103|  80|Pure Power  |--          |Rock Head   |Soda Pop (common), EnergyPowder (dark grass only)
562|Yamask    |GHOST            |  38|  30|  85|  30|  55|  65|Super Luck  |--          |Water Absorb|Splash Plate (common), Zoom Lens (rare)
563|Cofagrigus|GHOST            |  58|  50| 145|  30|  95| 105|Lightningrod|--          |Natural Cure|Light Clay (dark grass only)
564|Tirtouga  |WATER/ROCK       |  54|  78| 103|  22|  53|  45|Vital Spirit|Marvel Scale|Liquid Ooze |Douse Drive (rare)
565|Carracosta|WATER/ROCK       |  74| 108| 133|  32|  83|  65|Normalize   |Serene Grace|Rock Head   |Relic Silver (rare), X Sp. Def (dark grass only)
566|Archen    |ROCK/FLYING      |  55| 112|  45|  70|  74|  45|Shield Dust |--          |Pure Power  |White Herb (rare)
567|Archeops  |ROCK/FLYING      |  75| 140|  65| 110| 112|  65|Color Change|--          |Magnet Pull |
568|Trubbish  |POISON           |  50|  50|  62|  65|  40|  62|Multitype   |Solar Power |Own Tempo   |Max Repel (common), Blue Shard (rare), Mental Herb (dark grass only)
569|Garbodor  |POISON           |  80|  95|  82|  75|  60|  82|Technician  |--          |Flame Body  |Parlyz Heal (dark grass only)
570|Zorua     |DARK             |  40|  65|  40|  65|  80|  40|Magnet Pull |--          |Ice Body    |Dive Ball (rare), Binding Band (dark grass only)
571|Zoroark   |DARK             |  60| 105|  60| 105| 120|  60|Ice Body    |--          |Anger Point |Shoal Salt (rare)
572|Minccino  |NORMAL           |  55|  50|  40|  75|  40|  40|Shield Dust |Speed Boost |Flower Gift |
573|Cinccino  |NORMAL           |  75|  95|  60| 115|  65|  60|White Smoke |Speed Boost |Sturdy      |Old Gateau (rare)
574|Gothita   |PSYCHIC          |  45|  30|  50|  45|  55|  65|Pure Power  |--          |Rivalry     |Black Sludge (dark grass only)
575|Gothorita |PSYCHIC          |  60|  45|  70|  55|  75|  85|Anger Point |--          |Klutz       |
576|Gothitelle|PSYCHIC          |  70|  55|  95|  65|  95| 110|Download    |Hyper Cutter|Sand Stream |Leftovers (dark grass only)
577|Solosis   |PSYCHIC          |  45|  30|  40|  20| 105|  50|Water Absorb|Shell Armor |Quick Feet  |
578|Duosion   |PSYCHIC          |  65|  40|  50|  30| 125|  60|Oblivious   |Forewarn    |Motor Drive |Relic Vase (common), Quick Ball (rare), Timer Ball (dark grass only)
579|Reuniclus |PSYCHIC          | 110|  65|  75|  30| 125|  85|Oblivious   |Clear Body  |Synchronize |Dream Ball (100%)
580|Ducklett  |WATER/FLYING     |  62|  44|  50|  55|  44|  50|Magnet Pull |--          |Reckless    |Silk Scarf (common), Choice Specs (rare)
581|Swanna    |WATER/FLYING     |  75|  87|  63|  98|  87|  63|Flash Fire  |--          |Plus        |Zap Plate (dark grass only)
582|Vanillite |ICE              |  36|  50|  50|  44|  65|  60|Shadow Tag  |Effect Spore|Synchronize |Burn Drive (rare), BrightPowder (dark grass only)
583|Vanillish |ICE              |  51|  65|  65|  59|  80|  75|Swarm       |Leaf Guard  |Huge Power  |Timer Ball (dark grass only)
584|Vanilluxe |ICE              |  71|  95|  85|  79| 110|  95|Stench      |Shadow Tag  |Mold Breaker|
585|Deerling  |NORMAL/GRASS     |  60|  60|  50|  75|  40|  50|Rivalry     |--          |Overgrow    |Soda Pop (rare), Max Elixir (dark grass only)
586|Sawsbuck  |NORMAL/GRASS     |  80| 100|  70|  95|  60|  70|Rivalry     |Slow Start  |Wonder Guard|Shell Bell (common)
587|Emolga    |ELECTRIC/FLYING  |  55|  75|  60| 103|  75|  60|Arena Trap  |Battle Armor|Forecast    |Rose Incense (100%)
588|Karrablast|BUG              |  50|  75|  45|  60|  40|  45|Compoundeyes|Flower Gift |Intimidate  |
589|Escavalier|BUG/STEEL        |  70| 135| 105|  20|  60| 105|Snow Warning|--          |Rough Skin  |Heart Scale (rare)
590|Foongus   |GRASS/POISON     |  69|  55|  45|  15|  55|  55|Static      |Magic Guard |Pickup      |Green Shard (dark grass only)
591|Amoonguss |GRASS/POISON     | 114|  85|  70|  30|  85|  80|Cloud Nine  |Normalize   |Unaware     |Black Belt (common), Absorb Bulb (rare)
592|Frillish  |WATER/GHOST      |  55|  40|  50|  40|  65|  85|Inner Focus |--          |Rivalry     |
593|Jellicent |WATER/GHOST      | 100|  60|  70|  60|  85| 105|Soundproof  |--          |Storm Drain |Persim Berry (dark grass only)
594|Alomomola |WATER            | 165|  75|  80|  65|  40|  45|Sticky Hold |Illuminate  |Snow Warning|
595|Joltik    |BUG/ELECTRIC     |  50|  47|  50|  65|  57|  50|Intimidate  |Scrappy     |Illuminate  |
596|Galvantula|BUG/ELECTRIC     |  70|  77|  60| 108|  97|  60|Soundproof  |Serene Grace|Guts        |Icy Rock (dark grass only)
597|Ferroseed |GRASS/STEEL      |  44|  50|  91|  10|  24|  86|Rivalry     |--          |Aftermath   |Lava Cookie (common), Spooky Plate (dark grass only)
598|Ferrothorn|GRASS/STEEL      |  74|  94| 131|  20|  54| 116|Limber      |--          |Sniper      |TwistedSpoon (dark grass only)
599|Klink     |STEEL            |  40|  55|  70|  30|  45|  60|Air Lock    |--          |Multitype   |Rocky Helmet (common), Up-Grade (rare), Cell Battery (dark grass only)
600|Klang     |STEEL            |  60|  80|  95|  50|  70|  85|Water Absorb|Synchronize |Mold Breaker|Destiny Knot (common), Fire Gem (rare)
601|Klinklang |STEEL            |  60| 100| 115|  90|  70|  85|Klutz       |Air Lock    |Iron Fist   |Iron Plate (dark grass only)
602|Tynamo    |ELECTRIC         |  35|  55|  40|  60|  45|  40|Tangled Feet|Synchronize |Forewarn    |Expert Belt (dark grass only)
603|Eelektrik |ELECTRIC         |  65|  85|  70|  40|  75|  70|Gluttony    |--          |Solid Rock  |
604|Eelektross|ELECTRIC         |  85| 115|  80|  50| 105|  80|Forecast    |Wonder Guard|Unaware     |Steel Gem (common), Water Gem (dark grass only)
605|Elgyem    |PSYCHIC          |  55|  55|  55|  30|  85|  55|Swarm       |Snow Cloak  |Synchronize |Revival Herb (dark grass only)
606|Beheeyem  |PSYCHIC          |  75|  75|  75|  40| 125|  95|Levitate    |Keen Eye    |Insomnia    |
607|Litwick   |GHOST/FIRE       |  50|  30|  55|  20|  65|  55|Plus        |Shield Dust |Pure Power  |
608|Lampent   |GHOST/FIRE       |  60|  40|  60|  55|  95|  60|Honey Gather|--          |Storm Drain |
609|Chandelure|GHOST/FIRE       |  60|  55|  90|  80| 145|  90|Overgrow    |--          |Simple      |Potion (rare)
610|Axew      |DRAGON           |  46|  87|  60|  57|  30|  40|Stall       |Clear Body  |Torrent     |Electric Gem (rare)
611|Fraxure   |DRAGON           |  66| 117|  70|  67|  40|  50|Frisk       |Trace       |Own Tempo   |TinyMushroom (rare), Iron Plate (dark grass only)
612|Haxorus   |DRAGON           |  76| 147|  90|  97|  60|  70|Cute Charm  |--          |Arena Trap  |Heat Rock (common), Everstone (rare)
613|Cubchoo   |ICE              |  55|  70|  40|  40|  60|  40|Download    |--          |Magma Armor |Bug Gem (common)
614|Beartic   |ICE              |  95| 110|  80|  50|  70|  80|Ice Body    |Snow Cloak  |Pickup      |
615|Cryogonal |ICE              |  70|  50|  30| 105|  95| 135|Hyper Cutter|Snow Cloak  |Suction Cups|
616|Shelmet   |BUG              |  50|  40|  85|  25|  40|  65|Anticipation|--          |Trace       |Dragon Scale (dark grass only)
617|Accelgor  |BUG              |  80|  70|  40| 145| 100|  60|Keen Eye    |Cloud Nine  |Rain Dish   |
618|Stunfisk  |GROUND/ELECTRIC  | 109|  66|  84|  32|  81|  99|Wonder Guard|Shed Skin   |Steadfast   |
619|Mienfoo   |FIGHTING         |  45|  85|  50|  65|  55|  50|Drizzle     |Soundproof  |Synchronize |Razor Claw (dark grass only)
620|Mienshao  |FIGHTING         |  65| 125|  60| 105|  95|  60|Filter      |--          |Liquid Ooze |
621|Druddigon |DRAGON           |  77| 120|  90|  48|  60|  90|Levitate    |Hustle      |Arena Trap  |Max Potion (common)
622|Golett    |GROUND/GHOST     |  59|  74|  50|  35|  35|  50|Poison Point|--          |Rough Skin  |Power Lens (dark grass only)
623|Golurk    |GROUND/GHOST     |  89| 124|  80|  55|  55|  80|Pure Power  |--          |Leaf Guard  |
624|Pawniard  |DARK/STEEL       |  45|  85|  70|  60|  40|  40|Tinted Lens |--          |Hyper Cutter|
625|Bisharp   |DARK/STEEL       |  65| 125| 100|  70|  60|  70|Rain Dish   |Filter      |Arena Trap  |Chesto Berry (common), Bug Gem (rare), TwistedSpoon (dark grass only)
626|Bouffalant|NORMAL           |  95| 110|  95|  55|  40|  95|Solar Power |Rock Head   |White Smoke |
627|Rufflet   |NORMAL/FLYING    |  70|  83|  50|  60|  37|  50|Reckless    |Frisk       |Trace       |Star Piece (common), Exp. Share (dark grass only)
628|Braviary  |NORMAL/FLYING    | 100| 123|  75|  80|  57|  75|Guts        |--          |Unaware     |
629|Vullaby   |DARK/FLYING      |  70|  55|  75|  60|  45|  65|Magnet Pull |Swarm       |Overgrow    |
630|Mandibuzz |DARK/FLYING      | 110|  65| 105|  80|  55|  95|Keen Eye    |--          |Blaze       |Focus Sash (common), Protein (dark grass only)
631|Heatmor   |FIRE             |  85|  97|  66|  65| 105|  66|Thick Fat   |--          |Normalize   |
632|Durant    |BUG/STEEL        |  58| 109| 112| 109|  48|  48|Anticipation|--          |Tinted Lens |
633|Deino     |DARK/DRAGON      |  52|  65|  50|  38|  45|  50|Cloud Nine  |--          |Color Change|
634|Zweilous  |DARK/DRAGON      |  72|  85|  70|  58|  65|  70|Early Bird  |--          |Solid Rock  |Shoal Shell (common), Draco Plate (rare), Draco Plate (dark grass only)
635|Hydreigon |DARK/DRAGON      |  92| 105|  90|  98| 125|  90|Cute Charm  |--          |Flower Gift |Casteliacone (dark grass only)
636|Larvesta  |BUG/FIRE         |  55|  85|  55|  60|  50|  55|Battle Armor|Snow Warning|Flame Body  |Soul Dew (dark grass only)
637|Volcarona |BUG/FIRE         |  85|  60|  65| 100| 135| 105|Magma Armor |Magic Guard |Levitate    |Shock Drive (100%)
638|Cobalion  |STEEL/FIGHTING   |  91|  90| 129| 108|  90|  72|Storm Drain |Stench      |Mold Breaker|Blue Flute (common), Safari Ball (rare), Steel Gem (dark grass only)
639|Terrakion |ROCK/FIGHTING    |  91| 129|  90| 108|  72|  90|Adaptability|--          |Ice Body    |Super Potion (dark grass only)
640|Virizion  |GRASS/FIGHTING   |  91|  90|  72| 108|  90| 129|Shell Armor |--          |Drought     |Zoom Lens (common), Lemonade (rare)
641|Tornadus  |FLYING           |  79| 115|  70| 111| 125|  80|Color Change|Volt Absorb |Arena Trap  |Toxic Orb (rare)
642|Thundurus |ELECTRIC/FLYING  |  79| 115|  70| 111| 125|  80|Minus       |Torrent     |Volt Absorb |Burn Heal (100%)
643|Reshiram  |DRAGON/FIRE      | 100| 120| 100|  90| 150| 120|Sticky Hold |Sniper      |Motor Drive |Black Belt (dark grass only)
644|Zekrom    |DRAGON/ELECTRIC  | 100| 150| 120|  90| 120| 100|Bad Dreams  |--          |Trace       |Luck Incense (common), Red Card (rare)
645|Landorus  |GROUND/FLYING    |  89| 125|  90| 101| 115|  80|Rivalry     |Guts        |Simple      |Premier Ball (rare), Exp. Share (dark grass only)
646|Kyurem    |DRAGON/ICE       | 125| 130|  90|  95| 130|  90|Unaware     |Marvel Scale|Stall       |Mental Herb (dark grass only)
647|Keldeo    |WATER/FIGHTING   |  91|  72|  90| 108| 129|  90|Limber      |Trace       |Rough Skin  |Flame Plate (dark grass only)
648|Meloetta  |NORMAL/PSYCHIC   | 100|  77|  77|  90| 128| 128|Overgrow    |Huge Power  |Vital Spirit|Red Flute (100%)
649|Genesect  |BUG/STEEL        |  71| 120|  95|  99| 120|  95|Multitype   |--          |Liquid Ooze |BalmMushroom (common)

--Randomized Evolutions--
Bulbasaur now evolves into Servine
Ivysaur now evolves into Gliscor
Charmander now evolves into Gothorita
Charmeleon now evolves into Nidoking
Squirtle now evolves into Bayleef
Wartortle now evolves into Bellossom
Caterpie now evolves into Silcoon
Metapod now evolves into Bibarel
Weedle now evolves into Pichu
Kakuna now evolves into Minun
Pidgey now evolves into Herdier
Pidgeotto now evolves into Staraptor
Rattata now evolves into Masquerain
Spearow now evolves into Sandslash
Ekans now evolves into Sandslash
Pikachu now evolves into Galvantula
Sandshrew now evolves into Minun
Nidoran♀ now evolves into Graveler
Nidorina now evolves into Zoroark
Nidoran♂ now evolves into Cacnea
Nidorino now evolves into Vespiquen
Clefairy now evolves into Grumpig
Vulpix now evolves into Sigilyph
Jigglypuff now evolves into Togetic
Zubat now evolves into Druddigon
Golbat now evolves into Kingdra
Oddish now evolves into Croconaw
Gloom now evolves into Exploud and Unfezant
Paras now evolves into Minun
Venonat now evolves into Sawk
Diglett now evolves into Castform
Meowth now evolves into Wormadam
Psyduck now evolves into Donphan
Mankey now evolves into Jellicent
Growlithe now evolves into Suicune
Poliwag now evolves into Mienfoo
Poliwhirl now evolves into Lucario and Vespiquen
Abra now evolves into Nidorina
Kadabra now evolves into Typhlosion
Machop now evolves into Sunflora
Machoke now evolves into Walrein
Bellsprout now evolves into Herdier
Weepinbell now evolves into Seismitoad
Tentacool now evolves into Phione
Geodude now evolves into Haunter
Graveler now evolves into Serperior
Ponyta now evolves into Torkoal
Slowpoke now evolves into Bisharp and Whiscash
Magnemite now evolves into Kingler
Magneton now evolves into Slowking
Doduo now evolves into Lilligant
Seel now evolves into Simisage
Grimer now evolves into Electabuzz
Shellder now evolves into Gyarados
Gastly now evolves into Roselia
Haunter now evolves into Seismitoad
Onix now evolves into Amoonguss
Drowzee now evolves into Crustle
Krabby now evolves into Jynx
Voltorb now evolves into Persian
Exeggcute now evolves into Gyarados
Cubone now evolves into Dugtrio
Lickitung now evolves into Whimsicott
Koffing now evolves into Heatmor
Rhyhorn now evolves into Piloswine
Rhydon now evolves into Miltank
Chansey now evolves into Mismagius
Tangela now evolves into Porygon2
Horsea now evolves into Jynx
Seadra now evolves into Bronzong
Goldeen now evolves into Ponyta
Staryu now evolves into Tentacruel
Scyther now evolves into Lopunny
Electabuzz now evolves into Magmortar
Magmar now evolves into Rapidash
Magikarp now evolves into Registeel
Eevee now evolves into Crustle, Electabuzz, Golurk, Excadrill, Whimsicott, Ursaring and Simisage
Porygon now evolves into Gastrodon
Omanyte now evolves into Flareon
Kabuto now evolves into Seaking
Dratini now evolves into Metang
Dragonair now evolves into Cresselia
Chikorita now evolves into Murkrow
Bayleef now evolves into Vespiquen
Cyndaquil now evolves into Dewott
Quilava now evolves into Sceptile
Totodile now evolves into Sneasel
Croconaw now evolves into Vileplume
Sentret now evolves into Liepard
Hoothoot now evolves into Dewgong
Ledyba now evolves into Aipom
Spinarak now evolves into Wigglytuff
Chinchou now evolves into Lairon
Pichu now evolves into Magnemite
Cleffa now evolves into Munna
Igglybuff now evolves into Chingling
Togepi now evolves into Solrock
Togetic now evolves into Dusknoir
Natu now evolves into Qwilfish
Mareep now evolves into Gothorita
Flaaffy now evolves into Torterra
Marill now evolves into Granbull
Hoppip now evolves into Vibrava
Skiploom now evolves into Grovyle
Aipom now evolves into Purugly
Sunkern now evolves into Jumpluff
Yanma now evolves into Swanna
Wooper now evolves into Sandslash
Murkrow now evolves into Venusaur
Misdreavus now evolves into Musharna
Pineco now evolves into Octillery
Gligar now evolves into Conkeldurr
Snubbull now evolves into Purugly
Sneasel now evolves into Feraligatr
Teddiursa now evolves into Magnezone
Slugma now evolves into Castform
Swinub now evolves into Lairon
Piloswine now evolves into Uxie
Remoraid now evolves into Floatzel
Houndour now evolves into Mantine
Phanpy now evolves into Jynx
Porygon2 now evolves into Rapidash
Tyrogue now evolves into Carracosta, Electabuzz and Garbodor
Smoochum now evolves into Bouffalant
Elekid now evolves into Lickilicky
Magby now evolves into Galvantula
Larvitar now evolves into Munchlax
Pupitar now evolves into Keldeo
Treecko now evolves into Kadabra
Grovyle now evolves into Gigalith
Torchic now evolves into Boldore
Combusken now evolves into Unfezant
Mudkip now evolves into Kadabra
Marshtomp now evolves into Golem
Poochyena now evolves into Minun
Zigzagoon now evolves into Mr. Mime
Wurmple now evolves into Kakuna and Burmy
Silcoon now evolves into Masquerain
Cascoon now evolves into Beautifly
Lotad now evolves into Piplup
Lombre now evolves into Cacturne
Seedot now evolves into Nidorina
Nuzleaf now evolves into Gengar
Taillow now evolves into Wartortle
Wingull now evolves into Amoonguss
Ralts now evolves into Bagon
Kirlia now evolves into Rhydon and Exeggutor
Surskit now evolves into Persian
Shroomish now evolves into Crawdaunt
Slakoth now evolves into Skarmory
Vigoroth now evolves into Kyogre
Nincada now evolves into Huntail and Swablu
Whismur now evolves into Cacnea
Loudred now evolves into Samurott
Makuhita now evolves into Wailord
Azurill now evolves into Jigglypuff
Nosepass now evolves into Lilligant
Skitty now evolves into Azumarill
Aron now evolves into Skarmory
Lairon now evolves into Zapdos
Meditite now evolves into Sudowoodo
Electrike now evolves into Vigoroth
Roselia now evolves into Unfezant
Gulpin now evolves into Breloom
Carvanha now evolves into Mantine
Wailmer now evolves into Hariyama
Numel now evolves into Beartic
Spoink now evolves into Wigglytuff
Trapinch now evolves into Pidgeotto
Vibrava now evolves into Golem
Cacnea now evolves into Gligar
Swablu now evolves into Bastiodon
Barboach now evolves into Simisear
Corphish now evolves into Seviper
Baltoy now evolves into Electabuzz
Lileep now evolves into Altaria
Anorith now evolves into Ninjask
Feebas now evolves into Altaria and Armaldo
Shuppet now evolves into Cinccino
Duskull now evolves into Purugly
Dusclops now evolves into Mismagius
Wynaut now evolves into Archen
Snorunt now evolves into Slowking and Sawsbuck
Spheal now evolves into Murkrow
Sealeo now evolves into Victreebel
Clamperl now evolves into Rampardos and Cradily
Bagon now evolves into Tropius
Shelgon now evolves into Manaphy
Beldum now evolves into Vanillish
Metang now evolves into Raikou
Turtwig now evolves into Kadabra
Grotle now evolves into Reuniclus
Chimchar now evolves into Sableye
Monferno now evolves into Typhlosion
Piplup now evolves into Nidorino
Prinplup now evolves into Bellossom
Starly now evolves into Lampent
Staravia now evolves into Conkeldurr
Bidoof now evolves into Nosepass
Kricketot now evolves into Bayleef
Shinx now evolves into Nuzleaf
Luxio now evolves into Leavanny
Budew now evolves into Grovyle
Cranidos now evolves into Lumineon
Shieldon now evolves into Cradily
Burmy now evolves into Magneton and Golbat
Combee now evolves into Absol
Buizel now evolves into Octillery
Cherubi now evolves into Sigilyph
Shellos now evolves into Skuntank
Drifloon now evolves into Seviper
Buneary now evolves into Heatmor
Glameow now evolves into Musharna
Chingling now evolves into Lunatone
Stunky now evolves into Umbreon
Bronzor now evolves into Garbodor
Bonsly now evolves into Mightyena
Mime Jr. now evolves into Emolga
Happiny now evolves into Lunatone
Gible now evolves into Munchlax
Gabite now evolves into Tornadus
Munchlax now evolves into Keldeo
Riolu now evolves into Poliwrath
Hippopotas now evolves into Rhyperior
Skorupi now evolves into Eelektross
Croagunk now evolves into Scrafty
Finneon now evolves into Zangoose
Mantyke now evolves into Zweilous
Snover now evolves into Tentacruel
Snivy now evolves into Gligar
Servine now evolves into Gothitelle
Tepig now evolves into Charmeleon
Pignite now evolves into Roserade
Oshawott now evolves into Monferno
Dewott now evolves into Charizard
Patrat now evolves into Dunsparce
Lillipup now evolves into Poliwhirl
Herdier now evolves into Absol
Purrloin now evolves into Fearow
Pansage now evolves into Leafeon
Pansear now evolves into Golduck
Panpour now evolves into Spiritomb
Munna now evolves into Banette
Pidove now evolves into Palpitoad
Tranquill now evolves into Shuckle
Blitzle now evolves into Magmar
Roggenrola now evolves into Sealeo
Boldore now evolves into Absol
Woobat now evolves into Medicham
Drilbur now evolves into Slowking
Timburr now evolves into Chatot
Gurdurr now evolves into Honchkrow
Tympole now evolves into Machoke
Palpitoad now evolves into Weavile
Sewaddle now evolves into Sealeo
Swadloon now evolves into Vileplume
Venipede now evolves into Nuzleaf
Whirlipede now evolves into Poliwrath
Cottonee now evolves into Jynx
Petilil now evolves into Crustle
Sandile now evolves into Lampent
Krokorok now evolves into Bellossom
Darumaka now evolves into Chandelure
Dwebble now evolves into Lickilicky
Scraggy now evolves into Hitmonchan
Yamask now evolves into Sawsbuck
Tirtouga now evolves into Electrode
Archen now evolves into Porygon2
Trubbish now evolves into Tangela
Zorua now evolves into Absol
Minccino now evolves into Chimecho
Gothita now evolves into Machoke
Gothorita now evolves into Pidgeot
Solosis now evolves into Quilava
