Seed: 182339442737970
Config String: 172GQMRCgiCAYUBiAEylF0eAh4CCgAACg A9CRcOAAAAAAAACAAyFFBva2Vtb24gUGxhdGludW0gKFUpOopn5uPDOIo==

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
154|Fury Swipes    |NORMAL  |   10|  80| 30| SPECIAL
155|Bonemerang     |GROUND  |   30|  80| 25| SPECIAL
156|Rest           |PSYCHIC |    0|   0| 20| STATUS
157|Rock Slide     |ROCK    |   55| 100| 40| SPECIAL
158|Hyper Fang     |NORMAL  |   55| 100| 25| SPECIAL
159|Sharpen        |NORMAL  |    0|   0| 20| STATUS
160|Conversion     |NORMAL  |    0|   0| 25| STATUS
161|Tri Attack     |NORMAL  |   80| 100| 15| SPECIAL
162|Super Fang     |NORMAL  |    1| 100| 25| PHYSICAL
163|Slash          |NORMAL  |   65| 100|  5| SPECIAL
164|Substitute     |NORMAL  |    0|   0|  5| STATUS
165|Struggle       |NORMAL  |   50|   0|  1| PHYSICAL
166|Sketch         |NORMAL  |    0|   0| 15| STATUS
167|Triple Kick    |FIGHTING|   50| 100| 20| PHYSICAL
168|Thief          |DARK    |   65| 100| 15| SPECIAL
169|Spider Web     |BUG     |    0|   0| 15| STATUS
170|Mind Reader    |NORMAL  |    0|   0| 20| STATUS
171|Nightmare      |GHOST   |    0|  80|  5| STATUS
172|Flame Wheel    |FIRE    |   95| 100| 20| SPECIAL
173|Snore          |NORMAL  |   20|  95| 15| PHYSICAL
174|Curse          |???     |    0|   0| 15| STATUS
175|Flail          |NORMAL  |    1| 100| 25| PHYSICAL
176|Conversion 2   |NORMAL  |    0|   0| 25| STATUS
177|Aeroblast      |FLYING  |  150|  80| 15| SPECIAL
178|Cotton Spore   |GRASS   |    0|  95| 40| STATUS
179|Reversal       |FIGHTING|    1|  95| 20| PHYSICAL
180|Spite          |GHOST   |    0|  95| 15| STATUS
181|Powder Snow    |ICE     |   70|  95| 20| SPECIAL
182|Protect        |NORMAL  |    0|   0| 10| STATUS
183|Mach Punch     |FIGHTING|   50|  70| 20| SPECIAL
184|Scary Face     |NORMAL  |    0|  95| 20| STATUS
185|Faint Attack   |DARK    |   25|   0| 15| SPECIAL
186|Sweet Kiss     |NORMAL  |    0|  75| 20| STATUS
187|Belly Drum     |NORMAL  |    0|   0| 20| STATUS
188|Sludge Bomb    |POISON  |   95|  95| 15| SPECIAL
189|Mud-Slap       |GROUND  |   95|  95| 25| PHYSICAL
190|Octazooka      |WATER   |   75|  85|  5| PHYSICAL
191|Spikes         |GROUND  |    0|   0| 10| STATUS
192|Zap Cannon     |ELECTRIC|   55|  40| 20| SPECIAL
193|Foresight      |NORMAL  |    0|   0| 15| STATUS
194|Destiny Bond   |GHOST   |    0|   0| 25| STATUS
195|Perish Song    |NORMAL  |    0|   0| 20| STATUS
196|Icy Wind       |ICE     |   55| 100| 15| PHYSICAL
197|Detect         |FIGHTING|    0|   0| 15| STATUS
198|Bone Rush      |GROUND  |   30|  65| 15| PHYSICAL
199|Lock-On        |NORMAL  |    0|   0| 20| STATUS
200|Outrage        |DRAGON  |  110|  75| 40| SPECIAL
201|Sandstorm      |ROCK    |    0|   0| 20| STATUS
202|Giga Drain     |GRASS   |   55|  85| 15| SPECIAL
203|Endure         |NORMAL  |    0|   0| 20| STATUS
204|Charm          |NORMAL  |    0| 100| 20| STATUS
205|Rollout        |ROCK    |   75| 100| 25| PHYSICAL
206|False Swipe    |NORMAL  |   75| 100| 15| PHYSICAL
207|Swagger        |NORMAL  |    0| 100| 25| STATUS
208|Milk Drink     |NORMAL  |    0|   0| 25| STATUS
209|Spark          |ELECTRIC|   65|  95| 25| SPECIAL
210|Fury Cutter    |BUG     |   95| 100| 20| SPECIAL
211|Steel Wing     |STEEL   |  125| 100| 20| SPECIAL
212|Mean Look      |NORMAL  |    0|   0| 20| STATUS
213|Attract        |NORMAL  |    0| 100| 25| STATUS
214|Sleep Talk     |NORMAL  |    0|   0| 25| STATUS
215|Heal Bell      |NORMAL  |    0|   0| 15| STATUS
216|Return         |NORMAL  |    1| 100| 15| PHYSICAL
217|Present        |NORMAL  |    1|  90| 20| SPECIAL
218|Frustration    |NORMAL  |    1| 100| 20| PHYSICAL
219|Safeguard      |NORMAL  |    0|   0| 15| STATUS
220|Pain Split     |NORMAL  |    0|   0|  5| STATUS
221|Sacred Fire    |FIRE    |   70| 100| 20| PHYSICAL
222|Magnitude      |GROUND  |    1|  90| 15| SPECIAL
223|DynamicPunch   |FIGHTING|  120|  35| 25| PHYSICAL
224|Megahorn       |BUG     |   55|  85| 30| PHYSICAL
225|DragonBreath   |DRAGON  |  130| 100| 40| SPECIAL
226|Baton Pass     |NORMAL  |    0|   0| 25| STATUS
227|Encore         |NORMAL  |    0|  85| 15| STATUS
228|Pursuit        |DARK    |   95|  90| 25| SPECIAL
229|Rapid Spin     |NORMAL  |   60|  95| 25| SPECIAL
230|Sweet Scent    |NORMAL  |    0|  85| 25| STATUS
231|Iron Tail      |STEEL   |   50|  85| 30| SPECIAL
232|Metal Claw     |STEEL   |   85|  95| 15| PHYSICAL
233|Vital Throw    |FIGHTING|   60|   0| 25| PHYSICAL
234|Morning Sun    |NORMAL  |    0|   0| 40| STATUS
235|Synthesis      |GRASS   |    0|   0| 15| STATUS
236|Moonlight      |NORMAL  |    0|   0| 20| STATUS
237|Hidden Power   |NORMAL  |    1|  95| 20| PHYSICAL
238|Cross Chop     |FIGHTING|   55| 100| 25| PHYSICAL
239|Twister        |DRAGON  |   60|  95| 20| PHYSICAL
240|Rain Dance     |WATER   |    0|   0| 25| STATUS
241|Sunny Day      |FIRE    |    0|   0| 25| STATUS
242|Crunch         |DARK    |   80|  95| 15| PHYSICAL
243|Mirror Coat    |PSYCHIC |    1| 100| 40| PHYSICAL
244|Psych Up       |NORMAL  |    0|   0| 20| STATUS
245|ExtremeSpeed   |NORMAL  |   95| 100| 15| PHYSICAL
246|AncientPower   |ROCK    |   90| 100| 25| SPECIAL
247|Shadow Ball    |GHOST   |   60| 100| 25| PHYSICAL
248|Future Sight   |PSYCHIC |  100|  95| 15| SPECIAL
249|Rock Smash     |FIGHTING|   65| 100| 15| PHYSICAL
250|Whirlpool      |WATER   |   75|  95| 15| PHYSICAL
251|Beat Up        |DARK    |   90| 100| 10| SPECIAL
252|Fake Out       |NORMAL  |   60| 100| 20| SPECIAL
253|Uproar         |NORMAL  |   65|  95| 15| SPECIAL
254|Stockpile      |NORMAL  |    0|   0| 15| STATUS
255|Spit Up        |NORMAL  |    1| 100| 20| PHYSICAL
256|Swallow        |NORMAL  |    0|   0| 20| STATUS
257|Heat Wave      |FIRE    |   80|  95|  5| PHYSICAL
258|Hail           |ICE     |    0|   0| 10| STATUS
259|Torment        |DARK    |    0|  50| 15| STATUS
260|Flatter        |DARK    |    0|  95| 25| STATUS
261|Will-O-Wisp    |FIRE    |    0|  50| 40| STATUS
262|Memento        |DARK    |    0|  85| 20| STATUS
263|Facade         |NORMAL  |  130|  80| 25| SPECIAL
264|Focus Punch    |FIGHTING|   50|  75| 15| SPECIAL
265|SmellingSalt   |NORMAL  |  120|  60| 20| PHYSICAL
266|Follow Me      |NORMAL  |    0|   0| 20| STATUS
267|Nature Power   |NORMAL  |    0|   0| 15| STATUS
268|Charge         |ELECTRIC|    0|   0| 15| STATUS
269|Taunt          |DARK    |    0| 100| 40| STATUS
270|Helping Hand   |NORMAL  |    0|   0| 25| STATUS
271|Trick          |PSYCHIC |    0|  80| 25| STATUS
272|Role Play      |PSYCHIC |    0|   0| 25| STATUS
273|Wish           |NORMAL  |    0|   0| 35| STATUS
274|Assist         |NORMAL  |    0|   0| 15| STATUS
275|Ingrain        |GRASS   |    0|   0| 25| STATUS
276|Superpower     |FIGHTING|  100| 100| 20| PHYSICAL
277|Magic Coat     |PSYCHIC |    0|   0| 15| STATUS
278|Recycle        |NORMAL  |    0|   0| 25| STATUS
279|Revenge        |FIGHTING|   70|  90| 25| PHYSICAL
280|Brick Break    |FIGHTING|   75| 100| 20| PHYSICAL
281|Yawn           |NORMAL  |    0|   0| 15| STATUS
282|Knock Off      |DARK    |   95| 100| 25| PHYSICAL
283|Endeavor       |NORMAL  |    1|  85| 35| PHYSICAL
284|Eruption       |FIRE    |  100| 100| 25| PHYSICAL
285|Skill Swap     |PSYCHIC |    0|   0| 25| STATUS
286|Imprison       |PSYCHIC |    0|   0| 15| STATUS
287|Refresh        |NORMAL  |    0|   0| 25| STATUS
288|Grudge         |GHOST   |    0|   0| 20| STATUS
289|Snatch         |DARK    |    0|   0| 20| STATUS
290|Secret Power   |NORMAL  |   60| 100| 40| PHYSICAL
291|Dive           |WATER   |   75|  95| 20| PHYSICAL
292|Arm Thrust     |FIGHTING|   35|  95| 25| PHYSICAL
293|Camouflage     |NORMAL  |    0|   0| 20| STATUS
294|Tail Glow      |BUG     |    0|   0| 20| STATUS
295|Luster Purge   |PSYCHIC |  100| 100|  5| SPECIAL
296|Mist Ball      |PSYCHIC |   60|  85| 25| SPECIAL
297|FeatherDance   |FLYING  |    0|  80| 25| STATUS
298|Teeter Dance   |NORMAL  |    0| 100| 20| STATUS
299|Blaze Kick     |FIRE    |   55|  95| 20| PHYSICAL
300|Mud Sport      |GROUND  |    0|   0| 25| STATUS
301|Ice Ball       |ICE     |   75| 100| 20| PHYSICAL
302|Needle Arm     |GRASS   |   75| 100| 15| SPECIAL
303|Slack Off      |NORMAL  |    0|   0| 25| STATUS
304|Hyper Voice    |NORMAL  |   95|  85| 20| SPECIAL
305|Poison Fang    |POISON  |   70|  85| 25| PHYSICAL
306|Crush Claw     |NORMAL  |   90|  90| 40| PHYSICAL
307|Blast Burn     |FIRE    |   85|  95| 20| SPECIAL
308|Hydro Cannon   |WATER   |   95|  90| 15| SPECIAL
309|Meteor Mash    |STEEL   |   50|  95| 25| SPECIAL
310|Astonish       |GHOST   |   80|  80| 20| SPECIAL
311|Weather Ball   |NORMAL  |   50|  80| 35| PHYSICAL
312|Aromatherapy   |GRASS   |    0|   0| 15| STATUS
313|Fake Tears     |DARK    |    0| 100| 20| STATUS
314|Air Cutter     |FLYING  |   85|  95| 25| PHYSICAL
315|Overheat       |FIRE    |   90|  90| 20| PHYSICAL
316|Odor Sleuth    |NORMAL  |    0|   0| 35| STATUS
317|Rock Tomb      |ROCK    |   45|  80| 35| SPECIAL
318|Silver Wind    |BUG     |  115|  95| 15| SPECIAL
319|Metal Sound    |STEEL   |    0|  60| 25| STATUS
320|GrassWhistle   |GRASS   |    0|  90| 10| STATUS
321|Tickle         |NORMAL  |    0|  90| 25| STATUS
322|Cosmic Power   |PSYCHIC |    0|   0| 20| STATUS
323|Water Spout    |WATER   |   70|  95| 20| SPECIAL
324|Signal Beam    |BUG     |   85|  75| 40| PHYSICAL
325|Shadow Punch   |GHOST   |   70|   0| 25| SPECIAL
326|Extrasensory   |PSYCHIC |  110|  80| 20| PHYSICAL
327|Sky Uppercut   |FIGHTING|   75|  90| 30| PHYSICAL
328|Sand Tomb      |GROUND  |  125|  40|  5| PHYSICAL
329|Sheer Cold     |ICE     |    1|  30| 15| PHYSICAL
330|Muddy Water    |WATER   |   90|  90| 15| PHYSICAL
331|Bullet Seed    |GRASS   |   40| 100| 25| PHYSICAL
332|Aerial Ace     |FLYING  |   75|   0| 25| PHYSICAL
333|Icicle Spear   |ICE     |   30| 100| 15| SPECIAL
334|Iron Defense   |STEEL   |    0|   0| 20| STATUS
335|Block          |NORMAL  |    0|   0| 25| STATUS
336|Howl           |NORMAL  |    0|   0| 20| STATUS
337|Dragon Claw    |DRAGON  |   75|  80| 25| SPECIAL
338|Frenzy Plant   |GRASS   |   50|  90| 25| SPECIAL
339|Bulk Up        |FIGHTING|    0|   0| 25| STATUS
340|Bounce         |FLYING  |   70|  45| 15| SPECIAL
341|Mud Shot       |GROUND  |   95|  95|  5| PHYSICAL
342|Poison Tail    |POISON  |  140|  95| 40| SPECIAL
343|Covet          |NORMAL  |   60| 100| 15| SPECIAL
344|Volt Tackle    |ELECTRIC|   65|  95| 15| SPECIAL
345|Magical Leaf   |GRASS   |  125|   0| 20| SPECIAL
346|Water Sport    |WATER   |    0|   0| 15| STATUS
347|Calm Mind      |PSYCHIC |    0|   0| 20| STATUS
348|Leaf Blade     |GRASS   |   70|  90| 20| PHYSICAL
349|Dragon Dance   |DRAGON  |    0|   0| 25| STATUS
350|Rock Blast     |ROCK    |   25|  90|  5| SPECIAL
351|Shock Wave     |ELECTRIC|   70|   0|  5| SPECIAL
352|Water Pulse    |WATER   |   60| 100| 10| SPECIAL
353|Doom Desire    |STEEL   |   90|  90| 25| PHYSICAL
354|Psycho Boost   |PSYCHIC |   70|  95| 35| SPECIAL
355|Roost          |FLYING  |    0|   0| 20| STATUS
356|Gravity        |PSYCHIC |    0|   0| 15| STATUS
357|Miracle Eye    |PSYCHIC |    0|   0| 20| STATUS
358|Wake-Up Slap   |FIGHTING|   85|  90| 15| PHYSICAL
359|Hammer Arm     |FIGHTING|  100|  75| 15| SPECIAL
360|Gyro Ball      |STEEL   |    1| 100| 20| SPECIAL
361|Healing Wish   |PSYCHIC |    0|   0| 40| STATUS
362|Brine          |WATER   |   75| 100| 15| PHYSICAL
363|Natural Gift   |NORMAL  |    1| 100| 20| PHYSICAL
364|Feint          |NORMAL  |   55|  70| 35| SPECIAL
365|Pluck          |FLYING  |   65|  95| 25| PHYSICAL
366|Tailwind       |FLYING  |    0|   0| 25| STATUS
367|Acupressure    |NORMAL  |    0|   0| 15| STATUS
368|Metal Burst    |STEEL   |    1| 100| 20| SPECIAL
369|U-turn         |BUG     |   20|  95| 20| PHYSICAL
370|Close Combat   |FIGHTING|   90| 100| 10| SPECIAL
371|Payback        |DARK    |  135| 100| 25| SPECIAL
372|Assurance      |DARK    |  125|  90| 20| SPECIAL
373|Embargo        |DARK    |    0|  95| 20| STATUS
374|Fling          |DARK    |    1|  90| 10| SPECIAL
375|Psycho Shift   |PSYCHIC |    0| 100| 25| STATUS
376|Trump Card     |NORMAL  |    1|   0| 35| SPECIAL
377|Heal Block     |PSYCHIC |    0| 100| 25| STATUS
378|Wring Out      |NORMAL  |    1|  90| 25| SPECIAL
379|Power Trick    |PSYCHIC |    0|   0| 40| STATUS
380|Gastro Acid    |POISON  |    0|  90| 15| STATUS
381|Lucky Chant    |NORMAL  |    0|   0| 25| STATUS
382|Me First       |NORMAL  |    0|   0| 40| STATUS
383|Copycat        |NORMAL  |    0|   0| 25| STATUS
384|Power Swap     |PSYCHIC |    0|   0| 15| STATUS
385|Guard Swap     |PSYCHIC |    0|   0| 25| STATUS
386|Punishment     |DARK    |    1| 100| 20| PHYSICAL
387|Last Resort    |NORMAL  |   25|  90| 25| PHYSICAL
388|Worry Seed     |GRASS   |    0|  95| 25| STATUS
389|Sucker Punch   |DARK    |   80|  50| 25| PHYSICAL
390|Toxic Spikes   |POISON  |    0|   0| 15| STATUS
391|Heart Swap     |PSYCHIC |    0|   0| 20| STATUS
392|Aqua Ring      |WATER   |    0|   0| 10| STATUS
393|Magnet Rise    |ELECTRIC|    0|   0| 25| STATUS
394|Flare Blitz    |FIRE    |   75|  80| 20| SPECIAL
395|Force Palm     |FIGHTING|   95|  90| 15| SPECIAL
396|Aura Sphere    |FIGHTING|   75|   0| 20| SPECIAL
397|Rock Polish    |ROCK    |    0|   0| 35| STATUS
398|Poison Jab     |POISON  |   95|  80| 15| PHYSICAL
399|Dark Pulse     |DARK    |  100|  95| 30| PHYSICAL
400|Night Slash    |DARK    |   90|  90| 15| SPECIAL
401|Aqua Tail      |WATER   |   80|  85| 15| PHYSICAL
402|Seed Bomb      |GRASS   |   90|  80| 15| SPECIAL
403|Air Slash      |FLYING  |  140| 100| 25| PHYSICAL
404|X-Scissor      |BUG     |   95|  90| 15| PHYSICAL
405|Bug Buzz       |BUG     |  145|  90| 15| SPECIAL
406|Dragon Pulse   |DRAGON  |   50|  95| 20| SPECIAL
407|Dragon Rush    |DRAGON  |   85|  65| 20| PHYSICAL
408|Power Gem      |ROCK    |   95| 100| 20| SPECIAL
409|Drain Punch    |FIGHTING|   95| 100| 20| SPECIAL
410|Vacuum Wave    |FIGHTING|   60| 100| 25| SPECIAL
411|Focus Blast    |FIGHTING|   95|  80| 15| PHYSICAL
412|Energy Ball    |GRASS   |   70|  90| 20| SPECIAL
413|Brave Bird     |FLYING  |   50|  95| 10| PHYSICAL
414|Earth Power    |GROUND  |  100| 100| 20| PHYSICAL
415|Switcheroo     |DARK    |    0| 100| 25| STATUS
416|Giga Impact    |NORMAL  |   55|  35| 35| SPECIAL
417|Nasty Plot     |DARK    |    0|   0| 35| STATUS
418|Bullet Punch   |STEEL   |  150| 100| 20| PHYSICAL
419|Avalanche      |ICE     |   70| 100| 20| SPECIAL
420|Ice Shard      |ICE     |   65|  80| 15| PHYSICAL
421|Shadow Claw    |GHOST   |  145|  85| 20| PHYSICAL
422|Thunder Fang   |ELECTRIC|   50| 100| 10| SPECIAL
423|Ice Fang       |ICE     |   60|  90| 10| SPECIAL
424|Fire Fang      |FIRE    |   95| 100|  5| SPECIAL
425|Shadow Sneak   |GHOST   |   95|  85| 25| SPECIAL
426|Mud Bomb       |GROUND  |   35| 100| 20| SPECIAL
427|Psycho Cut     |PSYCHIC |   80| 100| 15| SPECIAL
428|Zen Headbutt   |PSYCHIC |   90| 100| 35| SPECIAL
429|Mirror Shot    |STEEL   |   85|  55| 20| PHYSICAL
430|Flash Cannon   |STEEL   |  100| 100| 15| PHYSICAL
431|Rock Climb     |NORMAL  |   35|  65| 20| PHYSICAL
432|Defog          |FLYING  |    0|   0| 25| STATUS
433|Trick Room     |PSYCHIC |    0|   0| 15| STATUS
434|Draco Meteor   |DRAGON  |  150| 100|  5| SPECIAL
435|Discharge      |ELECTRIC|  115|  85| 20| SPECIAL
436|Lava Plume     |FIRE    |   20|  95| 25| PHYSICAL
437|Leaf Storm     |GRASS   |   90| 100| 15| SPECIAL
438|Power Whip     |GRASS   |  100|  45| 20| SPECIAL
439|Rock Wrecker   |ROCK    |  105| 100| 15| SPECIAL
440|Cross Poison   |POISON  |  100| 100| 25| PHYSICAL
441|Gunk Shot      |POISON  |   60|  85| 20| PHYSICAL
442|Iron Head      |STEEL   |  120| 100| 20| SPECIAL
443|Magnet Bomb    |STEEL   |   75|   0| 15| PHYSICAL
444|Stone Edge     |ROCK    |   80|  90| 25| SPECIAL
445|Captivate      |NORMAL  |    0|  85| 15| STATUS
446|Stealth Rock   |ROCK    |    0|   0| 15| STATUS
447|Grass Knot     |GRASS   |    1| 100| 20| PHYSICAL
448|Chatter        |FLYING  |   85|  95| 15| PHYSICAL
449|Judgment       |NORMAL  |   70|  65| 15| PHYSICAL
450|Bug Bite       |BUG     |  105| 100| 15| SPECIAL
451|Charge Beam    |ELECTRIC|   60|  95| 20| SPECIAL
452|Wood Hammer    |GRASS   |   90|  90| 20| PHYSICAL
453|Aqua Jet       |WATER   |  135| 100| 25| SPECIAL
454|Attack Order   |BUG     |   95| 100| 40| SPECIAL
455|Defend Order   |BUG     |    0|   0| 30| STATUS
456|Heal Order     |BUG     |    0|   0| 20| STATUS
457|Head Smash     |ROCK    |   70| 100| 15| PHYSICAL
458|Double Hit     |NORMAL  |   75|  95| 40| SPECIAL
459|Roar of Time   |DRAGON  |   30|  90| 20| PHYSICAL
460|Spacial Rend   |DRAGON  |   90| 100| 15| PHYSICAL
461|Lunar Dance    |PSYCHIC |    0|   0| 35| STATUS
462|Crush Grip     |NORMAL  |    1|  80| 10| SPECIAL
463|Magma Storm    |FIRE    |   80|  60| 30| SPECIAL
464|Dark Void      |DARK    |    0| 100| 20| STATUS
465|Seed Flare     |GRASS   |   60|  50| 25| PHYSICAL
466|Ominous Wind   |GHOST   |  120|  95| 15| PHYSICAL
467|Shadow Force   |GHOST   |   75| 100| 25| PHYSICAL

--Pokemon Movesets--
001 BULBASAUR  : Spider Web at level 1, Tail Glow at level 1, U-turn at level 1, Megahorn at level 1, Swallow at level 3, Heal Order at level 7, Sacred Fire at level 9, Twineedle at level 13, Signal Beam at level 13, Attack Order at level 15, Pin Missile at level 19, Mega Kick at level 21, Super Fang at level 25, Defend Order at level 27, Silver Wind at level 31, SmellingSalt at level 33, Bug Buzz at level 37
002 IVYSAUR    : Covet at level 1, Tackle at level 1, Leech Life at level 1, Ice Ball at level 1, Smog at level 3, Fury Cutter at level 7, Heal Order at level 9, Fire Fang at level 13, ExtremeSpeed at level 13, String Shot at level 15, Attack Order at level 20, Tail Glow at level 23, X-Scissor at level 28, Defend Order at level 31, Silver Wind at level 36, Headbutt at level 39, Bug Buzz at level 44
003 VENUSAUR   : U-turn at level 1, Take Down at level 1, Megahorn at level 1, Rapid Spin at level 1, Tackle at level 3, Leech Life at level 7, Spit Up at level 9, Signal Beam at level 13, Crush Claw at level 13, Stomp at level 15, X-Scissor at level 20, Attack Order at level 23, Fury Cutter at level 28, Bug Bite at level 31, Pin Missile at level 32, Tail Glow at level 39, Silver Wind at level 45, String Shot at level 53
004 CHARMANDER : Embargo at level 1, U-turn at level 1, Lava Plume at level 1, Shadow Ball at level 1, Leech Life at level 7, Twineedle at level 10, X-Scissor at level 16, Scary Face at level 19, Attack Order at level 25, Bubble at level 28, Bug Bite at level 34, Substitute at level 37
005 CHARMELEON : Power Swap at level 1, U-turn at level 1, Spider Web at level 1, Megahorn at level 1, Mega Punch at level 7, Meditate at level 10, Flare Blitz at level 17, Leech Life at level 21, Bug Bite at level 28, Kinesis at level 32, Defend Order at level 39, Silver Wind at level 43
006 CHARIZARD  : Bite at level 1, Dig at level 1, Spider Web at level 1, Shadow Punch at level 1, Twineedle at level 1, X-Scissor at level 1, Attack Order at level 1, Fury Cutter at level 7, Pin Missile at level 10, Cotton Spore at level 17, Tail Glow at level 21, Defend Order at level 28, Tickle at level 32, Bug Bite at level 36, Silver Wind at level 42, Bug Buzz at level 49, Sharpen at level 59, Copycat at level 66
007 SQUIRTLE   : Weather Ball at level 1, Mega Punch at level 1, Slash at level 1, Crabhammer at level 1, Stockpile at level 4, Water Gun at level 7, Whirlpool at level 10, Dive at level 13, Clamp at level 16, Baton Pass at level 19, Air Cutter at level 22, Muddy Water at level 25, Hydro Cannon at level 28, Withdraw at level 31, BubbleBeam at level 34, Water Sport at level 37, Aqua Jet at level 40
008 WARTORTLE  : Rapid Spin at level 1, Water Pulse at level 1, Vacuum Wave at level 1, Water Gun at level 1, Aqua Ring at level 4, Brine at level 7, Whirlpool at level 10, Octazooka at level 13, Aqua Tail at level 16, Hydro Cannon at level 20, Withdraw at level 24, Bubble at level 28, BubbleBeam at level 32, Aqua Jet at level 36, Aeroblast at level 40, Spikes at level 44, Wrap at level 48
009 BLASTOISE  : Fury Swipes at level 1, Hyper Fang at level 1, Water Pulse at level 1, Crabhammer at level 1, Water Gun at level 1, Lick at level 4, Water Spout at level 7, Dive at level 10, Brine at level 13, Aqua Ring at level 16, Aqua Tail at level 20, Clamp at level 24, Muddy Water at level 28, Hydro Cannon at level 32, Bubble at level 39, Hydro Pump at level 46, Aqua Jet at level 53, BubbleBeam at level 60
010 CATERPIE   : Haze at level 1, Iron Tail at level 1, Sandstorm at level 1, Take Down at level 1, Hail at level 15
011 METAPOD    : Ice Fang at level 1, Ice Punch at level 1, Tackle at level 1, Slam at level 1, Blizzard at level 7
012 BUTTERFREE : Recover at level 1, Thrash at level 1, Icy Wind at level 1, Ice Fang at level 1, Flail at level 10, Flash at level 12, Powder Snow at level 12, Avalanche at level 12, Harden at level 16, Sheer Cold at level 18, Sharpen at level 22, Horn Attack at level 24, Icicle Spear at level 28, Ice Beam at level 30, Hail at level 34, Mega Kick at level 36, Mist at level 40
013 WEEDLE     : Spider Web at level 1, Selfdestruct at level 1, Signal Beam at level 1, Fire Fang at level 1, X-Scissor at level 15
014 KAKUNA     : Megahorn at level 1, Leech Life at level 1, Fire Fang at level 1, Bug Bite at level 1, Silver Wind at level 7
015 BEEDRILL   : Spider Web at level 1, Sacred Fire at level 1, Flare Blitz at level 1, Twineedle at level 1, Magma Storm at level 10, Defend Order at level 13, Blast Burn at level 16, Acupressure at level 19, Overheat at level 22, X-Scissor at level 25, Flame Wheel at level 28, Eruption at level 31, Bug Bite at level 34, ViceGrip at level 37, Bug Buzz at level 40
016 PIDGEY     : Ember at level 1, Fire Spin at level 1, Mist Ball at level 1, Judgment at level 1, Sacred Fire at level 5, Brick Break at level 9, Psywave at level 13, Magma Storm at level 17, Blast Burn at level 21, AncientPower at level 25, Flame Wheel at level 29, Fire Punch at level 33, Flamethrower at level 37, Mud-Slap at level 41, Dizzy Punch at level 45, Healing Wish at level 49
017 PIDGEOTTO  : Magic Coat at level 1, Role Play at level 1, Ember at level 1, Blaze Kick at level 1, Fire Spin at level 5, Dream Eater at level 9, Tickle at level 13, Mega Punch at level 17, Psycho Boost at level 22, Fire Blast at level 27, Magma Storm at level 32, Fissure at level 37, Overheat at level 42, Fire Fang at level 47, Psybeam at level 52, Blizzard at level 57
018 PIDGEOT    : Fire Spin at level 1, Confusion at level 1, Power Swap at level 1, Flare Blitz at level 1, Kinesis at level 5, ThunderPunch at level 9, Blast Burn at level 13, Flamethrower at level 17, Flame Wheel at level 22, Destiny Bond at level 27, Power Trick at level 32, Hammer Arm at level 38, Eruption at level 44, Meditate at level 50, Psybeam at level 56, Aeroblast at level 62
019 RATTATA    : Sketch at level 1, Rock Slide at level 1, Skill Swap at level 1, Hyper Fang at level 1, Pay Day at level 4, Head Smash at level 7, Stealth Rock at level 10, Rock Blast at level 13, Stone Edge at level 16, Rock Polish at level 19, Bind at level 22, Power Gem at level 25, Sandstorm at level 28, Double Team at level 31, Tickle at level 34
020 RATICATE   : Fury Swipes at level 1, Rock Tomb at level 1, Rock Slide at level 1, Stealth Rock at level 1, Psycho Boost at level 1, Head Smash at level 4, Rock Blast at level 7, Rollout at level 10, Rock Polish at level 13, Psycho Cut at level 16, Stone Edge at level 19, Moonlight at level 20, AncientPower at level 24, Muddy Water at level 29, Power Gem at level 34, Rock Wrecker at level 39, Sandstorm at level 44
021 SPEAROW    : Rock Tomb at level 1, Rock Slide at level 1, Sandstorm at level 1, Covet at level 1, Submission at level 5, Rock Polish at level 9, Revenge at level 13, Head Smash at level 17, Sky Uppercut at level 21, Rollout at level 25, Haze at level 29, AncientPower at level 33, Rock Wrecker at level 37
022 FEAROW     : Stealth Rock at level 1, Rock Slide at level 1, Head Smash at level 1, Haze at level 1, Aura Sphere at level 1, Rollout at level 5, Bulk Up at level 9, Stone Edge at level 13, Karate Chop at level 17, Rock Throw at level 23, AncientPower at level 29, Comet Punch at level 35, Rock Wrecker at level 41, SmellingSalt at level 47
023 EKANS      : Iron Tail at level 1, Horn Attack at level 1, Magnet Bomb at level 1, Metal Claw at level 1, Night Slash at level 4, Gyro Ball at level 9, Flatter at level 12, Metal Burst at level 17, Knock Off at level 20, Dark Pulse at level 25, Switcheroo at level 25, Flash Cannon at level 25, Lovely Kiss at level 28, Hyper Beam at level 33, Steel Wing at level 36, Payback at level 41
024 ARBOK      : Flatter at level 1, Fake Tears at level 1, Iron Tail at level 1, Meteor Mash at level 1, Thief at level 1, Mirror Shot at level 1, Metal Claw at level 1, Fling at level 4, Beat Up at level 9, Metal Sound at level 12, Gyro Ball at level 17, Metal Burst at level 20, Stomp at level 22, Pursuit at level 28, Knock Off at level 28, Assurance at level 28, Disable at level 34, Steel Wing at level 42, Memento at level 48, Bullet Punch at level 56
